additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
"Reinforced concrete rubber ring sewer gravity pipes, liquefaction zone 0",No,RC,E19.27,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Reinforced concrete rubber ring sewer gravity pipes, liquefaction zone 1",No,RC,E19.28,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Reinforced concrete rubber ring sewer gravity pipes, liquefaction zone 2",No,RC,E19.29,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, liquefaction zone 0",No,RC,E19.3,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Reinforced concrete rubber ring sewer gravity pipes, liquefaction zone 3",No,RC,E19.30,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Reinforced concrete rubber ring sewer gravity pipes, liquefaction zone 4",No,RC,E19.31,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Reinforced concrete rubber ring sewer gravity pipes, non-liquefaction zone",No,RC,E19.32,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, liquefaction zone 0",No,RC,E19.33,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, liquefaction zone 1",No,RC,E19.34,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, liquefaction zone 2",No,RC,E19.35,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, liquefaction zone 3",No,RC,E19.36,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, liquefaction zone 4",No,RC,E19.37,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"PVC & PE sewer gravity pipes, non-liquefaction zone",No,RC,E19.38,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Sewer pressure pipes, liquefaction zone 0",No,RC,E19.39,V (repair rate),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, liquefaction zone 1",No,RC,E19.4,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Sewer pressure pipes, liquefaction zone 1",No,RC,E19.40,V (repair rate),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Sewer pressure pipes, liquefaction zone 2",No,RC,E19.41,V (repair rate),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Sewer pressure pipes, liquefaction zone 3",No,RC,E19.42,V (repair rate),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Sewer pressure pipes, non-liquefaction zone",No,RC,E19.43,V (repair rate),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, liquefaction zone 2",No,RC,E19.5,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, liquefaction zone 3",No,RC,E19.6,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, liquefaction zone 4",No,RC,E19.7,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Abestos cement sewer gravity pipes, non-liquefaction zone",No,RC,E19.8,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Cast iron sewer gravity pipes, liquefaction zone 0",No,RC,E19.9,V (faults/km),,E,Sewers & interceptors:Buried pipelines,New Zealand,E,Peak Ground Velocity,,"No, but figure was given. Replicated figure to retrieve datapoints",Waste,Liu et al. (2015),C,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
Anchored/seismic components,Yes,RC,E2.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Small substation, low voltage: 34.5-150 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,Yes,RC,E2.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Small substation, low voltage: 34.5-150 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored/seismic components,Yes,RC,E2.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Medium substation, medium voltage: 150-350 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,Yes,RC,E2.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Medium substation, medium voltage: 150-350 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored/seismic components,Yes,RC,E2.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Large substation, high voltage: >350 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,Yes,RC,E2.6,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),"Large substation, high voltage: >350 kV",USA,E,Peak Ground Acceleration,EPPS,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E20.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small lift station,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E20.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Small lift station,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E20.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large lift station,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E20.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Medium/large lift station,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Waste,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
four-story reinforced concrete shear wall building with moment resisting frames,No,RC,E21.11,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Educational facilities,Turkey,E,Peak Ground Acceleration,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Hancilar et al. (2014),P,No,earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
four-story reinforced concrete shear wall building with moment resisting frames,No,RC,E21.12,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Educational facilities,Turkey,E,Peak Ground Velocity,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Hancilar et al. (2014),P,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
four-story reinforced concrete shear wall building with moment resisting frames,No,RC,E21.13,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Educational facilities,Turkey,E,Elastic spectral displacement,,"Yes, datapoints were given for reconstruction of the curve",Education & Health,Hancilar et al. (2014),P,No,earthquake,E_Vuln_Sd,Elastic Spectral Displacement,cm
Concrete ,No,RC,E21.18,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Educational facilities,Iran,E,Spectral acceleration,,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Samadian et al. (2019),P,No,earthquake,E_Vuln_Sa,Spectral acceleration,g
"Near-field (i.e., less than 10 km from the fault)",No,RC,E21.21,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Hospitals,USA,E,Spectral acceleration,,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Ranjbar & Naderpour (2020),P,No,earthquake,E_Vuln_Sa,Spectral acceleration,g
"Far-field (i.e., equal or greater than 10 km from the fault)",No,RC,E21.22,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Collapse'",A,Hospitals,USA,E,Spectral acceleration,,"No, but figure was given. Replicated figure to retrieve datapoints",Education & Health,Ranjbar & Naderpour (2020),P,No,earthquake,E_Vuln_Sa,Spectral acceleration,g
Anchored/seismic components,No,RC,E4.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Power pole,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,No,RC,E4.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Power pole,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored/seismic components,No,RC,E5.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Distribution circuit,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,No,RC,E5.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Distribution circuit,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored/seismic components,No,RC,E6.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Distribution circuit,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored/standard components,No,RC,E6.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Distribution circuit,USA,E,Peak Ground Acceleration,EDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Energy,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"In mountainous regions in rural areas, embankment heights of 5-10 m",No,RC,E7.11,V (repair rate),,E,Expressway,Japan,E,Peak Ground Velocity,Damage ratio (all),"No, but figure was given. Replicated figure to retrieve datapoints",Transportation,Maruyama et al. (2010),P,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
Anchored components with backup power,Yes,RC,E8.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E8.10,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Light rail DC power substation,USA,E,Peak Ground Acceleration,LDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components w/o backup power,Yes,RC,E8.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components with backup power,Yes,RC,E8.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components w/o backup power,Yes,RC,E8.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components with backup power,Yes,RC,E8.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Dispatch facility,USA,E,Peak Ground Acceleration,RDF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components w/o backup power,Yes,RC,E8.6,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Dispatch facility,USA,E,Peak Ground Acceleration,RDF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components with backup power,Yes,RC,E8.7,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Dispatch facility,USA,E,Peak Ground Acceleration,RDF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components w/o backup power,Yes,RC,E8.8,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Dispatch facility,USA,E,Peak Ground Acceleration,RDF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components,Yes,RC,E8.9,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Light rail DC power substation,USA,E,Peak Ground Acceleration,LDC,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components with backup power,Yes,RC,E9.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored components w/o backup power,Yes,RC,E9.2,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components with backup power,Yes,RC,E9.3,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components w/o backup power,Yes,RC,E9.4,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Fuel facility,USA,E,Peak Ground Acceleration,RFF,"Yes, median and dispersion factor were given for reconstruction of the curve",Transportation,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Assumes electrical switch gear is located 91.4 cm above grade. Support facilities damaged on ground level; Control and generation facilities damaged when water elevation reaches 2nd level; functionality threshold depth at 121.9 cm.,Yes,RC,F1.1,V,,H (A+E+O),"Small power plants, capacity <100 MW",USA,F,Inundation,EPPS,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Assumes electrical switch gear is located 91.4 cm above grade; functionality threshold depth at 121.9 cm.,Yes,RC,F1.2,V,,H (A+E+O),"Medium power plants, capacity 100-500 MW",USA,F,Inundation,EPPM,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Assumes electrical switch gear is located 91.4 cm above grade; functionality threshold depth at 121.9 cm.,Yes,RC,F1.3,V,,H (A+E+O),"Large power plants, >500 MW",USA,F,Inundation,EPPL,"Yes, datapoints were given for reconstruction of the curve",Energy,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Coal, gas or oil",No,RC ,F1.4,V,,O,Thermal plant,Global,F,Inundation,N/A; Based on FEMA (2020) anchored Large substations. But with LOWER vulnerability for global application,"Yes, datapoints were given for reconstruction of the curve",Energy,Miyamoto International (2019),M,No,flood,F_Vuln_Depth,Depth,m
,No,RC ,F1.5,V,,O,Wind turbine,Global,F,Inundation,N/A; Based on FEMA (2020) anchored Large substations. But with LOWER vulnerability for global application,"Yes, datapoints were given for reconstruction of the curve",Energy,Miyamoto International (2019),M,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,F1.6,V,,H(E+O),Wind turbine,Belgium,F,Inundation,N/A; also used for F12.1 (communication tower),"Yes, formula available",Energy,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
,No,RC,F1.7,V,,H(E+O),Wind turbine,"Schleswig-Holstein, Germany",F,Inundation,,"No, but figure was given. Replicated figure to retrieve datapoints",Energy,Meyer & Messner (2005),R,No,flood,F_Vuln_Depth,Depth,m
,Yes,RC,F10.1,V,,H(E+O),Communication tower,Belgium,F,Inundation,N/A; also used for wind turbines,"Yes, formula available",Telecommunication,Vanneuville et al. (2006),R,No,flood,F_Vuln_Depth,Depth,m
Generalized curve for  telecom assets in diked areas,No,RC,F12.1,V,,H(E+O),Communication system,Netherlands,F,Inundation,Damagefunction 6; also used for energy system,"Yes, formula available for reconstruction of curve",Telecommunication,Kok et al. (2005),R,No,flood,F_Vuln_Depth,Depth,m
"Capacity: 1.9-7.6 million L/day; Assumes that the tank bottom is at grade, and that the water level in the tank exceeds the flood depth (so the tank will not float)",Yes,RC,F13.1,V,,H (A+E+O),Water storage tanks at grade concrete,USA,F,Inundation,PSTGC,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity: 1.9-7.6 million L/day,Yes,RC,F13.2,V,,H (A+E+O),Water storage tanks at grade steel,USA,F,Inundation,PSTGS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity: 1.9-7.6 million L/day,Yes,RC,F13.3,V,,H (A+E+O),Water storage tanks at grade wood,USA,F,Inundation,PSTGW,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity: 1.9-7.6 million L/day; Assumes that the tank foundations are not damaged,Yes,RC,F13.4,V,,H (A+E+O),Water storage tanks elevated,USA,F,Inundation,PSTAS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity: 1.9-7.6 million L/day; Assumes that the tank vent is 91.4 cm above grade, and that cleanup will be required",Yes,RC,F13.5,V,,H (A+E+O),Water storage tanks below grade (all),USA,F,Inundation,PSTBC,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity of 38-189  million L/day. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F14.1,V,,H (A+E+O),Small water treatment plants open/gravity,USA,F,Inundation,PWTS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity above 38 million L/day. Below average flood design - more than average damage,Yes,RC,F14.10,V,,H (A+E+O),"small, medium and large water treatment plants closed/pressure",USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity of 189-757 million L/day. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F14.2,V,,H (A+E+O),Medium water treatment plants open/gravity,USA,F,Inundation,PWTM,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
"Capacity above 757 million L/day. Cleanup, repair of small motors, buried conduits, and transformers required when flood level exceeds ground level. Clean and repair of major electrical equipment initiated when flood level exceeds 91.4 cm. ",Yes,RC,F14.3,V,,H (A+E+O),Large water treatment plants open/gravity,USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Above average flood design - less than average damage. Capacity above 38 million L/day. ,Yes,RC,F14.4,V,,H (A+E+O),"small, medium and large water treatment plants open/gravity",USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Below average flood design - more than average damage. Capacity above 38 million L/day.,Yes,RC,F14.5,V,,H (A+E+O),"small, medium and large water treatment plants open/gravity",USA,F,Inundation,PWTL,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
Capacity of 38-189 million L/day. Assumes all equipment raised 91.4 cm above ground level. Mechanical/electrical equipment represents a greater percentage of the plant value than for the open design,Yes,RC,F14.6,V,,H (A+E+O),Small water treatment plants closed/pressure,USA,F,Inundation,PWTS,"Yes, datapoints were given for reconstruction of the curve",Water,FEMA (2013),M,No,flood,F_Vuln_Depth,Depth,m
