additional_characteristics,cost_feature,curve_characteristics,curve_id,curve_type,damage_states,derivation_methodology,exposed_element,geographical_application,hazard_type,intensity_metric,original_id,readily_available,sector,source,source_details,uncertainty_range,hazard_name,sheet_name,intensity_axis,intensity_unit
Anchored components,Yes,RC,E14.5,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Large water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Unanchored components,Yes,RC,E14.6,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Large water treatment plant,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
Anchored,Yes,RC,E15.1,F + V,"4 - 'Slight', 'Moderate', 'Extensive', 'Complete'",H (A+E+O),Wells,USA,E,Peak Ground Acceleration,,"Yes, median and dispersion factor were given for reconstruction of the curve",Water,FEMA (2020),M,"Yes, bandwidth(s) for curve(s)",earthquake,E_Vuln_PGA,Peak Ground Acceleration,g
"Abestos cement, cast iron, concrete pipelines and prestressed concrete cylinder pipes",Yes,RC,E16.1,V (repair rate),,E,Buried pipelines,"USA, Mexico",E,Peak Ground Velocity,,"Yes, formula available in HAZUS (2020)",Water,O'Rourke and Ayala (1993),M,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, lap-arc welded join type, corrosive soil, 4 to 12 inches in diameter, without seismic design",No,RC,E16.10,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, lap-arc welded join type, non-corrosive soil, 4 to 12 inches in diameter, without seismic design",No,RC,E16.11,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, lap-arc welded join type, 16 inches in diameter and larger, without seismic design",No,RC,E16.12,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, rubber gasket join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.13,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, screwed join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.14,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
"Welded steel, riveted join type, 4 to 12 inches in diameter, without seismic design",No,RC,E16.15,V (repair rate),,H(E+O),Buried pipelines,USA,E,Peak Ground Velocity,,"Yes, formula available",Water,Eidinger et al. (2001),R,No,earthquake,E_Vuln_PGV,Peak Ground Velocity,cm/s
